JD_TBD,MET,segmentID,segmentType,configID,propaMode,forcesID,atmosModel,activeSC,x,y,z,vx,vy,vz,eventType,EarthLat,EarthLon,EarthAlt,EarthFPA,EarthHA,EarthVEL,EarthFixedFPA,EarthFixedHA,EarthFixedVEL,EarthOESMA,EarthOEeccentricity,EarthOERAAN,EarthOEargPeriapsis,EarthOEinclination,EarthOEtrueAnomaly,EarthOEmeanAnomaly,Apogee,Perigee,range
2459899.785476652,132.0,1,0,1.0,1,0,nrlmsise00,,1233640.5280166257,5504671.56814965,3067719.8005427923,-1504.8593092108406,771.1192827575061,528.22891447821,SLS SRB terminated: Staging of SRB.,28.727215526725452,-80.08736937283349,48156.3544548319,20.634263286141792,80.91438463711414,1771.5112968450997,26.479295314297573,78.12896556092883,1400.1319704286118,3293958.242860837,0.9558671929455699,5.875683197585184,254.80722316742623,29.832677982739288,179.00053126003655,167.014903596192,64407.862144146115,-6232765.376422473,53374.334309794
2459899.786263689,200.0,1,0,1.0,1,0,nrlmsise00,,1108836.3390277848,5551793.443347334,3103209.1447286247,-2185.868100230375,620.7954495646495,522.3451950959824,Orion Spacecraft: Staging of Fairing panels.,28.915068558456955,-79.03369976816529,82977.75561190187,10.115111622553743,80.69290905251687,2331.576900864474,12.230901720156327,78.8387605982772,1932.8897638205754,3376736.3479842134,0.9147914182446202,7.532248477796762,254.51484764058802,30.07577374333322,179.04645281239237,171.35325542797037,87608.78079485148,-6090410.084826425,158403.58204932368
2459899.7865530406,225.0,1,0,1.0,1,0,nrlmsise00,,1050618.486250796,5566662.2138869,3116331.367133619,-2475.7163077754785,568.7043544090259,528.0362804074211,Orion Spacecraft: Staging of Launch Abort System.,29.000910521715436,-78.53087869580752,92385.42417127108,7.571447526633251,80.72310540238752,2594.497676378944,8.972554324099637,79.12850359703117,2191.9362339613513,3419444.0695811,0.8928220841528058,8.033066165155732,254.58235645767755,30.149702100793412,179.08475485275804,172.72485013293547,94262.25042844936,-6011648.11126625,208375.38312619922
2459899.7888215594,421.0,1,0,1.0,1,0,nrlmsise00,,253797.28081299705,5636689.557975966,3235291.502316053,-6237.870676384338,115.59929359597714,741.0441365700699,SLS stages: Limit max. G,29.999593515743832,-71.23574818180349,131312.62400193512,2.0558351764657967,83.36945752847865,6282.797162436519,2.1988000610623613,83.0608364502782,5874.47424596303,4796939.170225453,0.357468582008328,10.575560380549078,262.31801526309727,30.491206037102394,176.29628074913845,172.6978742765943,133557.213386151,-3295952.8729352453,924807.4614873197
2459899.789536837,482.8,1,0,1.0,1,0,nrlmsise00,,-191945.4448175338,5636015.995686695,3283934.3380191196,-8173.100417135086,-171.30037894471928,809.8767469974086,SLS stages: Engines off.,30.3744277205458,-66.96412515696949,153072.55721451092,3.4894934936686925,85.48121294016549,8214.91415619953,3.6726564205741745,85.39629028668281,7805.739489565574,7290087.005507682,0.12106138456840206,10.875977390158008,48.62237427232462,30.518058331571368,33.67263766381402,26.531540993687013,1794498.032018559,29401.978996805847,1338588.3668519936
2459899.789735911,500.0,1,0,1.0,1,0,nrlmsise00,,-332521.36990999506,5631879.137896161,3297173.113367234,-8169.534182353254,-309.78623675873183,729.0839570471438,Orbit insertion.,30.461052986549994,-65.60738278801165,161847.79685729617,3.6086176890111465,86.2023995046968,8207.85110035184,3.7984725791304146,86.15515640970807,7798.163970063156,7296429.751492443,0.12174673222405576,10.873279311255432,48.795877215180596,30.517889384288633,34.73851259312419,27.354389315157274,1806609.2306390265,29976.272345858626,1469401.770203077
2459899.820985911,3200.0,1,0,1.0,1,0,nrlmsise00,,-3880920.4995017652,-6402642.7835547635,-3283935.1418902357,5755.6132063480045,-2386.5168490616034,-2015.0868639477956,SLS stages: Start PRM.,-23.86038830928701,68.48442819457291,1800891.3805940987,-0.47051373659020895,109.85424265608358,6548.520529188058,-0.510320277985686,111.48654242341775,6037.727881600459,7296732.393216755,0.12071538659286327,10.73238382047008,48.81864294909253,30.531860632382713,183.4301663170919,184.33932554208548,1799423.264928584,37767.521504926495,16913721.477754757
2459899.8212312814,3221.2,1,0,1.0,1,0,nrlmsise00,,-3757884.513230361,-6452342.165289747,-3326247.1242645113,5851.217506762588,-2301.829932297986,-1976.4132999171595,SLS stages: MET-adjusted throttle segment.,-24.18793082825559,69.40218506360632,1799680.7475618175,-0.597642038450708,109.44712792930412,6591.007273608289,-0.6478570710400492,111.02655207219574,6080.161360016588,7369954.631481005,0.10962285777668818,10.73121195421634,48.36362710265538,30.531407731010564,184.86232030858523,186.02131535509142,1799733.1198684918,183902.14309351798,17013527.010742303
2459899.821232439,3221.3,1,0,1.0,1,0,nrlmsise00,,-3757299.245202281,-6452572.376861672,-3326444.798195323,5851.570756482705,-2301.3899226607705,-1976.1966483214255,SLS stages: End PRM.,-24.189465558488628,69.40654288188907,1799674.2941036709,-0.5982103647415273,109.44518339798364,6591.102266471441,-0.648472383806806,111.02438732578662,6080.256203256583,7370114.084878191,0.10959897577267028,10.73120636912279,48.362418623434245,30.531405610630724,184.8681542339741,186.0282605639853,1799734.039908572,184220.1298478106,17013999.554561175
2459899.8212405406,3222.0,1,0,1.0,1,0,nrlmsise00,,-3753202.444689715,-6454182.207446536,-3327827.5497084362,5853.691768623592,-2298.1723074733536,-1974.561755113063,End PRM,-24.200202351209015,69.4370448152191,1799628.9456119016,-0.6021860185577487,109.4315698103655,6591.37295270448,-0.6527799422670485,111.00934232616392,6080.5260292767325,7370521.793572057,0.10953793631094531,10.731167263938943,48.35925070129301,30.531390774352808,184.9036938453143,186.071535110009,1799736.5403747866,185033.04676932655,17017306.701665185
2459899.8443713277,5220.5,1,0,1.0,1,0,nrlmsise00,,6803803.246490506,-1105983.275852228,-1378794.6077375968,1043.1793411062133,6651.400857668524,3745.7138848115032,SLS stages: Start TLI.,-11.253859372286724,171.98895452122304,652323.7444154023,-5.746939437167899,61.4337311330259,7704.526527566379,-6.092281259449201,59.503867261478376,7269.304202250031,7375245.3594536865,0.11045679846365947,10.578688560591724,48.08014782953519,30.547829587880983,289.2198307521618,300.8326093851909,1811754.3497429024,182462.36916447058,12300930.158930434
2459899.856784522,6293.0,1,0,1.0,1,0,nrlmsise00,,3108312.401722492,6133739.570740352,3221293.6807823703,-7516.251171882391,5510.902235942472,4008.26503877987,SLS stages: End TLI.,25.283885008603182,-120.08497953045075,1219231.3038742251,17.644463877689915,72.01211295947283,10145.455325121891,18.49686535811527,71.17712416362775,9693.166771003427,194012711.88290215,0.9645230417000428,10.555657337157113,20.64594815629492,30.53735564996243,35.960516703390915,0.18328676159147908,374764305.876673,504843.88913133554,3920784.345219204
2459899.8707544296,7500.0,4,0,2.0,1,1,-,,-6271154.174575972,9767111.736445734,6339264.57976182,-7342.118883223906,1351.7342388525399,1574.0859990865376,Staging ICPS,28.652485248498277,-65.54492816978909,6852120.155453458,43.31731696993357,101.06270794013197,7629.655423438176,47.93869681873848,103.17757503468164,7050.1548892469455,192881061.6664732,0.9643112566731068,10.512784425013498,20.689558863355536,30.533955216675217,88.66855882967512,0.7003217951867393,372500303.63051295,505545.7024334222,1473661.0507494907
2459899.8770831334,8046.8,6,0,2.0,1,1,-,,-10128615.021821234,10295475.460099723,7060732.22322179,-6776.333162878591,643.4306613050503,1102.1265577144918,RSV,26.026110851611318,-56.01474256650137,9702022.387352426,48.5140532973183,106.516162176753,6895.460615466904,55.34617279754051,111.45942979719342,6279.4788095747,195205528.2430018,0.9647270491074721,10.507639765821597,20.721879809120075,30.535147053359957,99.45600255938278,0.9170024993712984,377147444.47433823,507338.0116653722,2447436.3132157233
